Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.126732] Стариков Иван Валентинович                              [0.001811] Бакиров Игорь Вакильевич                                [0.012005] Кудрявцев Федор Александрович                           [0.041175] Палчаев Аким Нажмудинович
[0.126475] Верзилов Петр Юрьевич                                   [0.001793] Власов Сергей Игоревич                                  [0.011632] Студенова (Пелевина) Наталья Владиславовна              [0.040638] Бескоровайный Алексей Викторович
[0.123873] Васильева Елена Борисовна                               [0.001763] Яшин (Ясин) Игорь Геннадьевич                           [0.011603] Осенин Владимир Олегович                                [0.037352] Студенова (Пелевина) Наталья Владиславовна
[0.119300] Левшиц Николай Дмитриевич                               [0.001734] Сахнин Алексей Викторович                               [0.011558] Поляков Анатолий Викторович                             [0.036724] Васильева Елена Борисовна
[0.118855] Брусиловский Максим Анатольевич                         [0.001697] Колесников Сергей Владимирович                          [0.011476] Лукьянова Елена Анатольевна                             [0.036368] Андреянов Сергей Николаевич
[0.117509] Рафаилов Георгий Георгиевич                             [0.001692] Будрайтскис Илья Борисович                              [0.011364] Коровин Вадим Александрович                             [0.035933] Щербаков Александр Вениаминович
[0.116545] Спорыхина Ульяна Викторовна                             [0.001681] Яшин Илья Валерьевич                                    [0.011340] Колесников Сергей Владимирович                          [0.032691] Колесников Вадим Владимирович
[0.113581] Александрова-Зорина Елизавета Борисовна                 [0.001668] Стефанов Борис Александрович                            [0.011317] Поткин (Басманов) Владимир Анатольевич                  [0.031607] Косякин Константин Юрьевич
[0.113092] Кузнецов Андрей Владимирович                            [0.001641] Лоскутов Артем Александрович                            [0.010340] Колюцкий Григорий Аркадьевич                            [0.030784] Бондарик Николай Николаевич
[0.110820] Чернов Дмитрий Валерьевич                               [0.001616] Литвинов Георгий Александрович (Артём Драгунов)         [0.009974] Витухновская Алина Александровна                        [0.030729] Блиндул Алексей Валерьевич
[0.110203] Барабаш Кирилл Владимирович                             [0.001611] Глускин Владимир Александрович                          [0.009946] Образцова Алиса Сергеевна                               [0.030261] Николаев Александр Александрович
[0.108216] Колесников Вадим Владимирович                           [0.001552] Левшиц Николай Дмитриевич                               [0.009862] Городенцев Андрей Геннадьевич                           [0.029412] Левченко Екатерина Валентиновна
[0.105458] Будникова Софья Владимировна                            [0.001526] Самсонов Артём Анатольевич                              [0.009793] Сангаев Игорь Вячеславович                              [0.029138] Головин Дмитрий Александрович
[0.104780] Колчинцев Вадим Валерьевич                              [0.001515] Гудков Дмитрий Геннадьевич                              [0.009614] Давыденко Денис Вячеславович                            [0.027205] Путенихин Дмитрий Викторович (Матвей Крылов)
[0.103988] Некрасов Дмитрий Александрович                          [0.001469] Гребнева Ирина Георгиевна                               [0.009362] Доброхотов Роман Александрович                          [0.026108] Скалаух Иван Сергеевич
[0.103747] Поляков Анатолий Викторович                             [0.001466] Горник Александр Львович                                [0.009293] Мухин Юрий Игнатьевич                                   [0.025195] Мокшанов Александр Александрович
[0.102910] Аникин Сергей Владимирович                              [0.001454] Романова Ольга Евгеньевна                               [0.009281] Будникова Софья Владимировна                            [0.024329] Кузин Евгений Андреевич
[0.102835] Дегтярь Иван Васильевич                                 [0.001448] Пионтковский Андрей Андреевич                           [0.009062] Быстров Андрей Сергеевич                                [0.023982] Жиляев Арсений Александрович
[0.101607] Скалаух Иван Сергеевич                                  [0.001415] Газарян Сурен Владимирович                              [0.009030] Янкаускас Константин Стасисович                         [0.023452] Александрова-Зорина Елизавета Борисовна
[0.100591] Бадыкова Фиалка Ахмадеевна                              [0.001410] Кавказский Николай Юрьевич                              [0.008932] Билунов Денис Борисович                                 [0.023408] Ренёв Денис Владимирович
[0.099876] Витухновская Алина Александровна                        [0.001403] Быстров Андрей Сергеевич                                [0.008782] Бакиров Игорь Вакильевич                                [0.023392] Петречук Лариса Леонидовна
[0.099128] Яшин (Ясин) Игорь Геннадьевич                           [0.001357] Щербаков Александр Вениаминович                         [0.008782] Жиляев Арсений Александрович                            [0.022331] Гарначук Владимир Федорович
[0.096569] Зорин Константин Игоревич                               [0.001357] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.008661] Лазуренко (Северский) Артем Сергеевич                   [0.021784] Рафаилов Георгий Георгиевич
[0.095939] Жиляев Арсений Александрович                            [0.001342] Сангаев Игорь Вячеславович                              [0.008182] Козырев Олег Вилисович                                  [0.020448] Чернов Дмитрий Валерьевич
[0.094589] Шнейдер Михаил Яковлевич                                [0.001321] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.007737] Дергачев Вадим Александрович                            [0.020038] Овдиенко Игорь Геннадьевич
[0.094528] Бурашников Дмитрий Андреевич                            [0.001301] Эсауленко Дмитрий Николаевич                            [0.007715] Гуляев Сергей Владимирович                              [0.019809] Аверьянов Иван Александрович
[0.094493] Петречук Лариса Леонидовна                              [0.001300] Образцова Алиса Сергеевна                               [0.007640] Русакова Елена Леонидовна                               [0.019726] Моша Юрий Игоревич
[0.093879] Ренёв Денис Владимирович                                [0.001265] Кара-Мурза Владимир Владимирович                        [0.007436] Беззуб Алексей Юрьевич                                  [0.019721] Холмогорова Наталия Леонидовна
[0.092548] Митюшкина Надежда Львовна                               [0.001259] Илларионов Андрей Николаевич                            [0.007329] Зорин Константин Игоревич                               [0.019065] Смирнов Сергей Сергеевич
[0.092160] Осенин Владимир Олегович                                [0.001244] Развозжаев Леонид Михайлович                            [0.007224] Радостева Наталья Евгеньевна                            [0.018752] Колчинцев Вадим Валерьевич
[0.091451] Головин Дмитрий Александрович                           [0.001242] Отставных Валерий Владимирович                          [0.007210] Безруких Олег Анатольевич                               [0.018304] Лавров Андрей Валерьевич
[0.091310] Щербаков Александр Вениаминович                         [0.001187] Брусиловский Максим Анатольевич                         [0.007192] Сайдашев Радик Ромович                                  [0.017557] Прибыловский Владимир Валерианович
[0.089285] Мокшанов Александр Александрович                        [0.001131] Мыльникова Марина Сергеевна                             [0.007128] Литвинов Георгий Александрович (Артём Драгунов)         [0.017465] Аникин Сергей Владимирович
[0.088036] Крюков Василий Анатольевич                              [0.001131] Лазуренко (Северский) Артем Сергеевич                   [0.007029] Матвеев Михаил Николаевич                               [0.017196] Пряников Павел Николаевич
[0.085553] Овдиенко Игорь Геннадьевич                              [0.001131] Беззуб Алексей Юрьевич                                  [0.007007] Левшиц Николай Дмитриевич                               [0.016134] Давыдов Андрей Владимирович
[0.084371] Гарначук Владимир Федорович                             [0.001075] Шулипа Юрий Юрьевич                                     [0.006708] Гребнева Ирина Георгиевна                               [0.016012] Литвинов Георгий Александрович (Артём Драгунов)
