Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.009737] Баронова Мария Николаевна                               [0.173783] Пономарев Илья Владимирович                             [0.024229] Артёмов Игорь Владимирович                              [0.142824] Дергачев Вадим Александрович                            [0.079433] Лазуренко (Северский) Артем Сергеевич                   [0.003155] Санников Максим Андреевич
[0.009555] Будникова Софья Владимировна                            [0.173084] Лукьянова Елена Анатольевна                             [0.023718] Ляскин Николай Николаевич                               [0.139158] Янкаускас Константин Стасисович                         [0.077518] Образцова Алиса Сергеевна                               [0.003137] Гонгальский Максим Брониславович
[0.008953] Албуров Георгий Валентинович                            [0.168966] Мирзоев Владимир Владимирович                           [0.023680] Шалимов Роман Николаевич                                [0.138049] Верзилов Петр Юрьевич                                   [0.074127] Левшиц Николай Дмитриевич                               [0.003103] Кац Максим Евгеньевич
[0.008773] Винокуров Александр Иванович                            [0.165749] Бескоровайный Алексей Викторович                        [0.022950] Бакиров Игорь Вакильевич                                [0.126275] Палчаев Аким Нажмудинович                               [0.073506] Вистицкий Михаил Михайлович                             [0.003030] Удальцов Сергей Станиславович
[0.008497] Поткин (Басманов) Владимир Анатольевич                  [0.164420] Поткин (Белов) Александр Анатольевич                    [0.022858] Осенин Владимир Олегович                                [0.121990] Стариков Иван Валентинович                              [0.069619] Аитова Екатерина Петровна                               [0.002942] Соболь Любовь Эдуардовна
[0.008294] Соболь Любовь Эдуардовна                                [0.160677] Лазуренко (Северский) Артем Сергеевич                   [0.021606] Резчиков (Абанин) Алексей Романович                     [0.120080] Лоскутов Артем Александрович                            [0.069606] Осенин Владимир Олегович                                [0.002921] Лурье Олег Анатольевич
[0.008185] Чирикова Евгения Сергеевна                              [0.160061] Гребнева Ирина Георгиевна                               [0.021328] Колюцкий Григорий Аркадьевич                            [0.119317] Некрасов Дмитрий Александрович                          [0.065051] Волкова Елена Ивановна                                  [0.002624] Будникова Софья Владимировна
[0.008123] Илларионов Андрей Николаевич                            [0.159821] Галямина Юлия Евгеньевна                                [0.021307] Дровецкий Василий Валерьевич                            [0.112486] Русакова Елена Леонидовна                               [0.062429] Волкова Александра Ивановна (Женя Отто)                 [0.002502] Андреянов Сергей Николаевич
[0.007545] Гудков Геннадий Владимирович                            [0.159125] Спорыхина Ульяна Викторовна                             [0.020624] Дергачев Вадим Александрович                            [0.110357] Богомолов Юрий Александрович                            [0.059014] Крылов Константин Анатольевич                           [0.002445] Радостева Наталья Евгеньевна
[0.006922] Яшин Илья Валерьевич                                    [0.159119] Пушкарева Наталья Александровна                         [0.020353] Сангаев Игорь Вячеславович                              [0.109123] Митюшкина Надежда Львовна                               [0.058784] Доможиров Евгений Валерьевич                            [0.002340] Гаврилов Андрей Игоревич
[0.006423] Колганов Антон Юрьевич                                  [0.158916] Печенев Александр Сергеевич                             [0.019183] Беззуб Алексей Юрьевич                                  [0.108454] Безруких Олег Анатольевич                               [0.058177] Витухновская Алина Александровна                        [0.002324] Колганов Антон Юрьевич
[0.006110] Зорин Константин Игоревич                               [0.158277] Палчаев Аким Нажмудинович                               [0.019055] Николаев Александр Александрович                        [0.108442] Чернышева Наталья Юрьевна                               [0.056589] Бескоровайный Алексей Викторович                        [0.002281] Стариков Иван Валентинович
[0.006108] Васильева Елена Борисовна                               [0.157980] Поткин (Басманов) Владимир Анатольевич                  [0.018672] Лазуренко (Северский) Артем Сергеевич                   [0.103763] Андреянов Сергей Николаевич                             [0.056466] Медведев Кирилл Феликсович                              [0.002260] Холмогорова Наталия Леонидовна
